时间,板块,得分
2026-01-06/t,半导体,10.0
2026-01-06/t,电子元件,7.0
2026-01-06/t,机器人,6.0
2026-01-06/t,化工,5.3
2026-01-06/t,有色金属,5.0
2026-01-06/t,计算机,3.5
2026-01-06/t,传媒,3.0
2026-01-06/t,铜箔,3.0
2026-01-06/t,电子,3.0
2026-01-06/t,半导体设备,3.0
2026-01-06/t,脑机接口,3.0
2026-01-06/t,锂电池,3.0
2026-01-06/t,航天航空,3.0
2026-01-06/t,光伏设备,3.0
2026-01-06/t,医疗器械,3.0
2026-01-06/t,通信,2.5
2026-01-06/t,固态电池,2.0
2026-01-06/t,人工智能,2.0
2026-01-06/t,保险,2.0
2026-01-06/t,面板,2.0
2026-01-06/t,消费电子,2.0
2026-01-06/t,航天装备,2.0
2026-01-06/t,工程机械,2.0
2026-01-06/t,汽车零部件,2.0
2026-01-06/t,集成电路,1.0
2026-01-06/t,通信设备,1.0
2026-01-06/t,计算机应用,1.0
2026-01-06/t,新材料,1.0
2026-01-06/t,免税店,1.0
2026-01-06/t,PCB,1.0
2026-01-06/t,钙钛矿,1.0
2026-01-06/t,卫星互联网,1.0
2026-01-06/t,化工-有机硅,1.0
2026-01-06/t,机械设备,1.0
2026-01-06/t,电池,1.0
2026-01-06/t,航空航天,1.0
2026-01-06/t,储能,1.0
2026-01-06/t,基础化工,1.0
2026-01-06/t,燃气轮机,1.0
2026-01-06/t,半导体材料,1.0
2026-01-06/t,物流,1.0
2026-01-06/t,液冷,1.0
2026-01-06/t,自动驾驶,1.0
2026-01-06/t,风电,0.5
2026-01-06/t,出版,0.3
